humidity,temperature,time,background_color,weather_elements
低濕度 (0%–49%),低溫 (-10°C～5°C),白天,#9bb3bf（冷天）,none
低濕度 (0%–49%),低溫 (-10°C～5°C),夜晚,#1a1a2e（夜晚）,none
低濕度 (0%–49%),中溫 (6°C～30°C),白天,#3498db（正常白天）,sun
低濕度 (0%–49%),中溫 (6°C～30°C),夜晚,#1a1a2e（夜晚）,none
低濕度 (0%–49%),高溫 (31°C～50°C),白天,#3498db（正常白天）,double sun
低濕度 (0%–49%),高溫 (31°C～50°C),夜晚,#1a1a2e（夜晚）,none
中濕度 (50%–80%),低溫 (-10°C～5°C),白天,#9bb3bf（冷天）,cloud
中濕度 (50%–80%),低溫 (-10°C～5°C),夜晚,#1a1a2e（夜晚）,cloud
中濕度 (50%–80%),中溫 (6°C～30°C),白天,#3498db（正常白天）,cloud
中濕度 (50%–80%),中溫 (6°C～30°C),夜晚,#1a1a2e（夜晚）,cloud
中濕度 (50%–80%),高溫 (31°C～50°C),白天,#3498db（正常白天）,"cloud, double sun"
中濕度 (50%–80%),高溫 (31°C～50°C),夜晚,#1a1a2e（夜晚）,cloud
高濕度 (81%–100%),低溫 (-10°C～5°C),白天,#9bb3bf（冷天）,snow
高濕度 (81%–100%),低溫 (-10°C～5°C),夜晚,#1a1a2e（夜晚）,snow
高濕度 (81%–100%),中溫 (6°C～30°C),白天,#3498db（正常白天）,"rain, cloud"
高濕度 (81%–100%),中溫 (6°C～30°C),夜晚,#1a1a2e（夜晚）,"rain, cloud"
高濕度 (81%–100%),高溫 (31°C～50°C),白天,#3498db（正常白天）,"rain, cloud"
高濕度 (81%–100%),高溫 (31°C～50°C),夜晚,#1a1a2e（夜晚）,"rain, cloud"
